shift_date,hospital_id,ward_id,shift,shift_type_id,start_dt,end_dt,employee_id,tag_id
5/02/2023,1,1,1,1,5/02/2023 7:00,5/02/2023 15:00,952,1
5/02/2023,1,4,1,1,5/02/2023 7:00,5/02/2023 15:00,490,1
5/02/2023,1,7,1,1,5/02/2023 7:00,5/02/2023 15:00,1557,1
5/02/2023,1,10,1,1,5/02/2023 7:00,5/02/2023 15:00,88,1
5/02/2023,1,1,2,1,5/02/2023 7:00,5/02/2023 15:00,1167,1
5/02/2023,1,4,2,1,5/02/2023 7:00,5/02/2023 15:00,582,1
5/02/2023,1,7,2,1,5/02/2023 7:00,5/02/2023 15:00,1314,1
5/02/2023,1,10,2,1,5/02/2023 7:00,5/02/2023 15:00,506,1
5/02/2023,1,1,3,1,5/02/2023 7:00,5/02/2023 15:00,957,1
5/02/2023,1,4,3,1,5/02/2023 7:00,5/02/2023 15:00,1476,1
5/02/2023,1,7,3,1,5/02/2023 7:00,5/02/2023 15:00,1652,1
5/02/2023,1,10,3,1,5/02/2023 7:00,5/02/2023 15:00,1371,1
5/02/2023,1,1,4,1,5/02/2023 7:00,5/02/2023 15:00,9,1
5/02/2023,1,4,4,1,5/02/2023 7:00,5/02/2023 15:00,1037,1
5/02/2023,1,7,4,1,5/02/2023 7:00,5/02/2023 15:00,535,1
5/02/2023,1,10,4,1,5/02/2023 7:00,5/02/2023 15:00,500,1
5/02/2023,1,1,5,1,5/02/2023 7:00,5/02/2023 15:00,232,1
5/02/2023,1,4,5,1,5/02/2023 7:00,5/02/2023 15:00,917,3
5/02/2023,1,7,5,1,5/02/2023 7:00,5/02/2023 15:00,355,1
5/02/2023,1,10,5,1,5/02/2023 7:00,5/02/2023 15:00,1600,3
5/02/2023,1,1,6,1,5/02/2023 7:00,5/02/2023 15:00,1315,1
5/02/2023,1,4,6,1,5/02/2023 7:00,5/02/2023 15:00,936,1
5/02/2023,1,7,6,1,5/02/2023 7:00,5/02/2023 15:00,1051,1
5/02/2023,1,10,6,1,5/02/2023 7:00,5/02/2023 15:00,13,3
5/02/2023,1,1,7,1,5/02/2023 7:00,5/02/2023 15:00,361,1
5/02/2023,1,4,7,1,5/02/2023 7:00,5/02/2023 15:00,676,1
5/02/2023,1,7,7,1,5/02/2023 7:00,5/02/2023 15:00,420,1
5/02/2023,1,10,7,1,5/02/2023 7:00,5/02/2023 15:00,225,1
5/02/2023,1,1,8,1,5/02/2023 7:00,5/02/2023 15:00,130,1
5/02/2023,1,4,8,1,5/02/2023 7:00,5/02/2023 15:00,762,1
5/02/2023,1,7,8,1,5/02/2023 7:00,5/02/2023 15:00,106,5
5/02/2023,1,10,8,1,5/02/2023 7:00,5/02/2023 15:00,1772,1
5/02/2023,1,1,9,1,5/02/2023 7:00,5/02/2023 15:00,796,5
5/02/2023,1,4,9,1,5/02/2023 7:00,5/02/2023 15:00,1029,2
5/02/2023,1,7,9,1,5/02/2023 7:00,5/02/2023 15:00,1025,1
5/02/2023,1,10,9,1,5/02/2023 7:00,5/02/2023 15:00,1305,1
5/02/2023,1,1,10,1,5/02/2023 7:00,5/02/2023 15:00,1229,1
5/02/2023,1,4,10,1,5/02/2023 7:00,5/02/2023 15:00,1567,1
5/02/2023,1,7,10,1,5/02/2023 7:00,5/02/2023 15:00,1393,1
5/02/2023,1,10,10,1,5/02/2023 7:00,5/02/2023 15:00,1299,1
5/02/2023,1,1,11,1,5/02/2023 7:00,5/02/2023 15:00,524,1
5/02/2023,1,4,11,1,5/02/2023 7:00,5/02/2023 15:00,231,1
5/02/2023,1,7,11,1,5/02/2023 7:00,5/02/2023 15:00,942,1
5/02/2023,1,10,11,1,5/02/2023 7:00,5/02/2023 15:00,1345,1
5/02/2023,1,1,12,1,5/02/2023 7:00,5/02/2023 15:00,965,1
5/02/2023,1,4,12,1,5/02/2023 7:00,5/02/2023 15:00,1271,1
5/02/2023,1,7,12,1,5/02/2023 7:00,5/02/2023 15:00,666,1
5/02/2023,1,10,12,1,5/02/2023 7:00,5/02/2023 15:00,111,1
5/02/2023,1,1,13,1,5/02/2023 7:00,5/02/2023 15:00,839,1
5/02/2023,1,4,13,1,5/02/2023 7:00,5/02/2023 15:00,804,1
5/02/2023,1,7,13,1,5/02/2023 7:00,5/02/2023 15:00,273,1
5/02/2023,1,10,13,1,5/02/2023 7:00,5/02/2023 15:00,1015,2
5/02/2023,1,1,14,1,5/02/2023 7:00,5/02/2023 15:00,6,1
5/02/2023,1,4,14,1,5/02/2023 7:00,5/02/2023 15:00,914,1
5/02/2023,1,7,14,1,5/02/2023 7:00,5/02/2023 15:00,1498,1
5/02/2023,1,10,14,1,5/02/2023 7:00,5/02/2023 15:00,1469,1
5/02/2023,1,1,15,1,5/02/2023 7:00,5/02/2023 15:00,1348,1
5/02/2023,1,4,15,1,5/02/2023 7:00,5/02/2023 15:00,1138,1
5/02/2023,1,7,15,1,5/02/2023 7:00,5/02/2023 15:00,1531,3
5/02/2023,1,10,15,1,5/02/2023 7:00,5/02/2023 15:00,635,2
5/02/2023,1,1,16,1,5/02/2023 7:00,5/02/2023 15:00,1105,1
5/02/2023,1,4,16,1,5/02/2023 7:00,5/02/2023 15:00,684,1
5/02/2023,1,7,16,1,5/02/2023 7:00,5/02/2023 15:00,1535,1
5/02/2023,1,10,16,1,5/02/2023 7:00,5/02/2023 15:00,1549,1
5/02/2023,1,1,17,1,5/02/2023 7:00,5/02/2023 15:00,1678,1
5/02/2023,1,4,17,1,5/02/2023 7:00,5/02/2023 15:00,737,1
5/02/2023,1,7,17,1,5/02/2023 7:00,5/02/2023 15:00,978,1
5/02/2023,1,10,17,1,5/02/2023 7:00,5/02/2023 15:00,1671,1
5/02/2023,1,1,18,1,5/02/2023 7:00,5/02/2023 15:00,595,1
5/02/2023,1,4,18,1,5/02/2023 7:00,5/02/2023 15:00,693,1
5/02/2023,1,7,18,1,5/02/2023 7:00,5/02/2023 15:00,446,1
5/02/2023,1,10,18,1,5/02/2023 7:00,5/02/2023 15:00,1046,1
5/02/2023,1,1,19,1,5/02/2023 7:00,5/02/2023 15:00,1064,1
5/02/2023,1,4,19,1,5/02/2023 7:00,5/02/2023 15:00,1264,1
5/02/2023,1,7,19,1,5/02/2023 7:00,5/02/2023 15:00,956,1
5/02/2023,1,10,19,1,5/02/2023 7:00,5/02/2023 15:00,1397,1
5/02/2023,1,1,20,1,5/02/2023 7:00,5/02/2023 15:00,1706,5
5/02/2023,1,4,20,1,5/02/2023 7:00,5/02/2023 15:00,574,1
5/02/2023,1,7,20,1,5/02/2023 7:00,5/02/2023 15:00,1635,1
5/02/2023,1,10,20,1,5/02/2023 7:00,5/02/2023 15:00,731,1
5/02/2023,1,1,21,1,5/02/2023 7:00,5/02/2023 15:00,971,1
5/02/2023,1,4,21,1,5/02/2023 7:00,5/02/2023 15:00,653,3
5/02/2023,1,7,21,1,5/02/2023 7:00,5/02/2023 15:00,1308,5
5/02/2023,1,10,21,1,5/02/2023 7:00,5/02/2023 15:00,1262,1
5/02/2023,1,1,22,1,5/02/2023 7:00,5/02/2023 15:00,484,1
5/02/2023,1,4,22,1,5/02/2023 7:00,5/02/2023 15:00,114,1
5/02/2023,1,7,22,1,5/02/2023 7:00,5/02/2023 15:00,1376,1
5/02/2023,1,10,22,1,5/02/2023 7:00,5/02/2023 15:00,31,1
5/02/2023,1,1,23,1,5/02/2023 7:00,5/02/2023 15:00,385,1
5/02/2023,1,4,23,1,5/02/2023 7:00,5/02/2023 15:00,452,1
5/02/2023,1,7,23,1,5/02/2023 7:00,5/02/2023 15:00,828,5
5/02/2023,1,10,23,1,5/02/2023 7:00,5/02/2023 15:00,785,1
5/02/2023,1,1,24,1,5/02/2023 7:00,5/02/2023 15:00,545,1
5/02/2023,1,4,24,1,5/02/2023 7:00,5/02/2023 15:00,99,1
5/02/2023,1,7,24,1,5/02/2023 7:00,5/02/2023 15:00,892,1
5/02/2023,1,10,24,1,5/02/2023 7:00,5/02/2023 15:00,25,1
5/02/2023,1,1,25,1,5/02/2023 7:00,5/02/2023 15:00,288,1
5/02/2023,1,4,25,1,5/02/2023 7:00,5/02/2023 15:00,1426,2
5/02/2023,1,7,25,1,5/02/2023 7:00,5/02/2023 15:00,1085,1
5/02/2023,1,10,25,1,5/02/2023 7:00,5/02/2023 15:00,1140,1
5/02/2023,1,1,26,1,5/02/2023 7:00,5/02/2023 15:00,1013,1
5/02/2023,1,4,26,1,5/02/2023 7:00,5/02/2023 15:00,1398,1
5/02/2023,1,7,26,1,5/02/2023 7:00,5/02/2023 15:00,1486,1
5/02/2023,1,10,26,1,5/02/2023 7:00,5/02/2023 15:00,1733,1
5/02/2023,1,1,27,1,5/02/2023 7:00,5/02/2023 15:00,840,1
5/02/2023,1,4,27,1,5/02/2023 7:00,5/02/2023 15:00,1439,3
5/02/2023,1,7,27,1,5/02/2023 7:00,5/02/2023 15:00,1613,1
5/02/2023,1,10,27,1,5/02/2023 7:00,5/02/2023 15:00,1793,1
5/02/2023,1,2,1,2,5/02/2023 15:00,5/02/2023 23:00,294,1
5/02/2023,1,5,1,2,5/02/2023 15:00,5/02/2023 23:00,1681,1
5/02/2023,1,8,1,2,5/02/2023 15:00,5/02/2023 23:00,1077,1
5/02/2023,1,2,2,2,5/02/2023 15:00,5/02/2023 23:00,1373,1
5/02/2023,1,5,2,2,5/02/2023 15:00,5/02/2023 23:00,1028,1
